tconst	averageRating	numVotes
tt0000001	5.6	1528
tt0000002	6.1	185
tt0000003	6.5	1175
tt0000004	6.2	113
tt0000005	6.1	1892
tt0000006	5.2	102
tt0000007	5.4	609
tt0000008	5.4	1635
tt0000009	5.4	80
tt0000010	6.9	5449
tt0000011	5.2	233
tt0000012	7.4	9233
tt0000013	5.7	1420
tt0000014	7.1	4028
tt0000015	6.1	725
tt0000016	5.9	1062
tt0000017	4.7	213
tt0000018	5.4	441
tt0000019	6.2	14
tt0000020	5.0	242
tt0000022	5.1	790
tt0000023	5.6	1012
tt0000024	5.4	22
tt0000025	4.4	22
tt0000026	5.7	1213
tt0000027	5.5	830
tt0000028	5.1	762
tt0000029	5.9	2590
tt0000030	5.2	638
tt0000031	5.5	739
tt0000032	5.2	310
tt0000033	5.6	774
tt0000034	5.4	110
tt0000035	5.8	50
tt0000036	4.5	444
tt0000037	4.7	38
tt0000038	4.2	130
tt0000039	4.2	12
tt0000040	4.2	33
tt0000041	6.6	1287
tt0000042	4.7	18
tt0000043	4.3	10
tt0000044	4.7	24
tt0000045	4.7	15
tt0000046	4.5	15
tt0000047	3.8	13
tt0000048	4.9	109
tt0000049	5.4	21
tt0000050	4.5	13
tt0000051	4.2	11
tt0000052	4.7	46
tt0000053	3.0	7
tt0000054	5.5	16
tt0000055	4.2	13
tt0000056	3.7	9
tt0000057	4.7	12
tt0000058	4.4	13
tt0000059	4.0	10
tt0000060	7.8	59
tt0000061	4.0	13
tt0000062	6.5	147
tt0000063	4.0	9
tt0000064	3.8	10
tt0000065	4.0	10
tt0000066	4.1	10
tt0000067	5.8	39
tt0000068	4.3	10
tt0000069	4.9	310
tt0000070	6.4	2041
tt0000071	3.9	13
tt0000072	4.5	12
tt0000073	4.3	10
tt0000074	4.4	14
tt0000075	6.3	1365
tt0000076	4.5	391
tt0000077	5.0	16
tt0000078	4.2	44
tt0000079	4.6	16
tt0000080	4.3	12
tt0000081	4.4	13
tt0000082	5.0	21
tt0000083	5.0	15
tt0000084	4.3	13
tt0000085	5.0	15
tt0000086	4.4	13
tt0000087	5.0	16
tt0000088	5.0	13
tt0000089	6.3	749
tt0000090	4.2	12
tt0000091	6.7	2427
tt0000092	5.0	10
tt0000093	5.1	60
tt0000094	4.5	12
tt0000095	5.1	17
tt0000096	4.9	10
tt0000097	5.2	16
tt0000098	5.5	18
tt0000099	5.0	13
tt0000100	5.1	29
tt0000101	4.9	11
tt0000102	5.1	11
tt0000103	5.8	13
tt0000104	5.6	360
tt0000105	5.4	13
tt0000106	5.0	9
tt0000107	5.6	12
tt0000108	4.4	402
tt0000109	4.5	395
tt0000110	4.4	402
tt0000111	4.5	409
tt0000112	4.5	395
tt0000113	4.4	415
tt0000114	5.5	14
tt0000115	5.2	16
tt0000116	5.5	13
tt0000117	5.1	105
tt0000118	5.6	14
tt0000119	5.9	22
tt0000120	5.8	25
tt0000121	4.5	38
tt0000122	5.5	13
tt0000123	5.6	62
tt0000124	5.6	13
tt0000125	4.7	7
tt0000126	5.7	15
tt0000127	4.8	11
tt0000128	5.9	22
tt0000129	6.8	32
tt0000130	5.4	14
tt0000131	5.8	941
tt0000132	5.1	794
tt0000133	6.7	19
tt0000134	4.7	7
tt0000135	7.0	48
tt0000136	6.3	277
tt0000137	5.0	7
tt0000138	6.5	727
tt0000139	5.8	13
tt0000140	5.1	205
tt0000141	5.5	48
tt0000142	5.1	9
tt0000143	4.9	178
tt0000144	5.2	199
tt0000146	5.5	11
tt0000147	5.1	303
tt0000149	5.4	8
tt0000150	5.5	87
tt0000151	5.5	27
tt0000152	6.1	144
tt0000153	5.7	274
tt0000154	4.1	7
tt0000155	5.3	11
tt0000156	4.6	9
tt0000157	5.4	5
tt0000158	4.4	5
tt0000159	5.3	47
tt0000160	5.8	8
tt0000161	5.0	5
tt0000162	5.4	367
tt0000164	5.0	205
tt0000165	5.2	73
tt0000166	5.4	5
tt0000167	4.6	91
tt0000168	4.4	5
tt0000169	4.4	13
tt0000170	5.3	160
tt0000172	6.1	534
tt0000173	5.4	14
tt0000174	5.0	94
tt0000175	4.9	144
tt0000177	4.7	166
tt0000178	5.5	61
tt0000179	4.9	15
tt0000181	7.4	29
tt0000182	4.9	426
tt0000183	6.9	12
tt0000184	4.9	229
tt0000186	4.7	10
tt0000187	5.6	27
tt0000190	5.2	106
tt0000192	4.5	118
tt0000194	5.5	62
tt0000196	5.5	11
tt0000197	6.4	5
tt0000198	6.2	5
tt0000205	6.4	14
tt0000208	5.7	435
tt0000209	5.6	10
tt0000210	5.9	12
tt0000211	7.5	2968
tt0000213	4.6	163
tt0000214	4.8	47
tt0000215	4.5	86
tt0000218	5.8	444
tt0000219	7.2	21
tt0000222	4.6	158
tt0000223	6.3	9
tt0000225	5.6	16
tt0000228	4.9	186
tt0000229	4.6	66
tt0000230	6.5	1189
tt0000231	4.4	5
tt0000234	6.3	32
tt0000235	6.3	480
tt0000239	5.5	156
tt0000240	4.4	44
tt0000242	6.3	768
tt0000245	7.1	19
tt0000246	6.4	837
tt0000247	4.9	361
tt0000248	6.0	1160
tt0000251	5.4	74
tt0000253	5.2	13
tt0000256	4.6	114
tt0000261	6.0	40
tt0000264	5.7	310
tt0000265	4.7	90
tt0000269	5.2	86
tt0000271	7.3	6
tt0000272	5.6	597
tt0000273	5.5	406
tt0000274	5.6	163
tt0000276	7.6	8
tt0000277	6.3	44
tt0000278	6.2	5
tt0000279	5.4	5
tt0000280	5.2	6
tt0000281	6.0	6
tt0000283	6.3	11
tt0000284	5.4	154
tt0000286	5.7	150
